...1,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,1 BULANAN,3 BULANAN KOMBINASI,3 BULANAN PROGESTIN,KOMBINASI,PROGESTIN,KONDOM,1 BATANG,2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,KABUPATEN,KECAMATAN,TAHUN
1090,760202601,Pustu Taan,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU,TAPALANG,2023
1097,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAJENE,PAMBOANG,2023
1123,7605013,PUSKESMAS SENDANA 1,19,0,5,0,5,0,0,0,4,5,0,0,FEBRUARI,MAJENE,SENDANA,2023
1127,760501314,PUSTU TALLU BANUA,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAJENE,SENDANA,2023
1128,760501315,POSKESDES TULLU BULAN,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAJENE,SENDANA,2023
1132,760501307,PUSTU PUNDAU,1,0,0,0,1,0,0,0,0,0,0,0,FEBRUARI,MAJENE,SENDANA,2023
1145,7603004,PUSKESMAS PANA',0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMASA,PANA,2023
1146,760300401,PUSTU MANIPI',0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMASA,PANA,2023
1163,760404703,PUSTU TAKATIDUNG,4,1,1,0,2,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,POLEWALI,2023
1187,7602009,PUSKESMAS BAMBU,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU,MAMUJU,2023
1195,760403803,PUSTU PATAMPANUA,2,0,0,2,0,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,MATAKALI,2023
1208,760500604,Poskesdes Waigamo,2,0,2,0,0,0,0,0,0,0,0,0,FEBRUARI,MAJENE,TAMMERODO SENDANA,2023
1234,760402807,PUSTU RUMPA,3,0,2,0,1,0,0,0,0,0,0,0,FEBRUARI,POLEWALI MANDAR,MAPILLI,2023
1246,7603015,PUSKESMAS RANTEBULAHAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMASA,RANTEBULAHAN TIMUR,2023
1254,7604023,PUSKESMAS MATANGNGA,6,0,1,0,2,0,2,0,1,0,0,0,FEBRUARI,POLEWALI MANDAR,MATANGNGA,2023
1264,7603019,RSUD KONDO SAPATA,1,0,1,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMASA,BALLA,2023
1274,7602019,Puskesmas Dungkait,3,0,0,2,0,1,0,0,0,0,0,0,FEBRUARI,MAMUJU,TAPALANG BARAT,2023
1290,760300101,Pustu Sendana,2,0,1,0,1,0,0,0,0,0,0,0,FEBRUARI,MAMASA,MAMBI,2023
1301,760301305,PUSTU MASEWE,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMASA,NOSU,2023
1313,760100804,POSKESDES BAMBAKORO,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,LARIANG,2023
1321,7602005,PUSKESMAS RANGAS,16,0,2,7,0,0,0,0,5,2,0,0,FEBRUARI,MAMUJU,SIMBORO,2023
1322,760200501,PUSKESDES SESE SELATAN,2,0,0,2,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU,SIMBORO,2023
1329,760200407,POSKESDES PATIDDI,1,0,1,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU,SIMBORO,2023
1331,7603016,PKM BUNTU MALANGKA,1,0,0,0,1,0,0,0,0,0,0,0,FEBRUARI,MAMASA,BUNTUMALANGKA,2023
1338,760301603,PUSTU PENATANGAN,2,0,0,1,0,0,0,0,1,0,0,0,FEBRUARI,MAMASA,BUNTUMALANGKA,2023
1346,760300202,POSKESDES UHAILANU,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMASA,ARALLE,2023
1357,760202501,Pustu Kalonding,2,0,1,0,0,0,0,0,1,0,0,0,FEBRUARI,MAMUJU,SAMPAGA,2023
1367,7605002,PKBRS MAJENE,12,0,5,0,1,0,0,0,0,1,0,5,FEBRUARI,MAJENE,BANGGAE,2023
1373,7605007,PUSKESMAS TOTOLI,13,0,0,6,2,4,0,0,1,0,0,0,FEBRUARI,MAJENE,BANGGAE,2023
1388,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,PASANGKAYU,DAPURANG,2023
1409,7606007,PUSKESMAS TOPOYO,2,0,0,0,0,0,0,0,1,1,0,0,FEBRUARI,MAMUJU TENGAH,TOPOYO,2023
1420,760600804,PUSTU TABOLANG,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,TOPOYO,2023
1425,760600801,PUSTU BAMBAMANURUNG,2,0,0,1,0,1,0,0,0,0,0,0,FEBRUARI,MAMUJU TENGAH,TOPOYO,2023
