KABUPATEN,KECAMATAN,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,SUNTIK 1 BULANAN,SUNTIK 3 BULANAN KOMBINASI,SUNTIK 3 BULANAN PROGESTIN,PIL KOMBINASI,PIL PROGESTIN,KONDOM,IMPLAN 1 BATANG,IMPLAN 2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,TAHUN
MAMASA,NOSU,760301305,PUSTU MASEWE,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU,PAPALANG,7602012,PUSKESMAS TOPORE,2,0,0,1,1,0,0,0,0,0,0,0,MARET,2024
MAJENE,TAMMERODO SENDANA,760500604,Poskesdes Waigamo,2,0,2,0,0,0,0,0,0,0,0,0,MARET,2024
MAMASA,PANA,760300401,PUSTU MANIPI',0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMASA,ARALLE,760300202,POSKESDES UHAILANU,4,0,0,1,3,0,0,0,0,0,0,0,MARET,2024
MAMUJU,TAPALANG BARAT,7602019,Puskesmas Dungkait,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMASA,MAMBI,760300101,Pustu Sendana,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAJENE,PAMBOANG,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU,SIMBORO,7602005,PUSKESMAS RANGAS,15,0,2,5,0,0,0,1,7,0,0,0,MARET,2024
MAMUJU,SIMBORO,760200407,POSKESDES PATIDDI,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU TENGAH,BUDONG-BUDONG,760600404,pustu barakkang,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
MAMUJU TENGAH,TOPOYO,760600804,PUSTU TABOLANG,3,1,0,1,1,0,0,0,0,0,0,0,MARET,2024
MAMUJU TENGAH,TOPOYO,760600801,PUSTU BAMBAMANURUNG,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
PASANGKAYU,BAMBALAMOTU,760100313,Pustu Sawi,1,0,1,0,0,0,0,0,0,0,0,0,MARET,2024
PASANGKAYU,BAMBALAMOTU,760100307,Poskesdes Hikma,0,0,0,0,0,0,0,0,0,0,0,0,MARET,2024
PASANGKAYU,BAMBALAMOTU,760100313,Pustu Sawi,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
PASANGKAYU,BAMBALAMOTU,760100307,Poskesdes Hikma,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMUJU TENGAH,TOPOYO,760600804,PUSTU TABOLANG,7,0,0,3,0,1,0,0,3,0,0,0,APRIL,2024
MAMUJU TENGAH,TOPOYO,760600801,PUSTU BAMBAMANURUNG,2,0,1,0,0,1,0,0,0,0,0,0,APRIL,2024
MAMUJU,TAPALANG BARAT,7602019,Puskesmas Dungkait,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMUJU TENGAH,BUDONG-BUDONG,760600404,pustu barakkang,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMASA,MAMBI,760300101,Pustu Sendana,8,0,2,2,4,0,0,0,0,0,0,0,APRIL,2024
MAMASA,NOSU,760301305,PUSTU MASEWE,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
